content,score
Error,1
"Tulisan ""page unavailable"". Mengganti profil sampai refresh akun diweb dan apk tidak bisa. Bintang satu",1
Usernya banyak yang toxic,1
"Setiap membuka aplikasinya, aplikasinya selalu keluar sendiri. Malah selalu keluar saat sya sedang mencari buku",1
"Jujur sih aplikasi ini ribet banget cuy,sepertinya bukan aplikasi untuk membaca sih,delete this aplication",1
Seringkali buku tidak bisa dibaca,1
"Punyaku kok beda dari yang lainn, padahal punyaku bukan pick me (⁠｡⁠•́⁠︿⁠•̀⁠｡⁠)",1
Aplikasi nya ngk praktis,1
Aplikasi gak guna..,1
Kirain ada kumpulan buku di sini ternyata cuma judul,1
Banyak yg kasih spoiler tanpa TW,1
Can't see any community reviews ;(,1
"Nyesel aja donlod, di buka cuman judul aja gak bisa di bukak dan di baca!!",1
"Why i cant continue login with my Facebook account and when I want to login via email, I also can't use it.",1
"Kenapa ga bisa digunain? Cuma reload mulu padahal udah update versi terbaru, signal juga bagus",1
O hiiit force close,1
Jelek ga bisa baca,1
Mau masuk aja mental mental mulu😪,1
Cara bacanya gimana sih? Daritadi ngotak ngatik gak bisa mulu.,1
"Why Goodreads app doesn't have a look like the web version? Though the web version is much neater, aesthetic and fresh because it's updated. Why don't you apply here too?",1
Bingung,1
Kok saya gk bisa masuk pake akun FB ya😭 Tolong di bantu ya:),1
Bangsat dikira buat baca tolol,1
Gk bisa baca,1
Apk gk guna sumpah,1
Gabisa daftar gaguna,1
Bad APK alias bohong,1
"Gak berguna, gak bisa di install",1
Gimana baca bukunya,1
"aku kasih bintang saku karna gabisa daftar, pas dikasih passwordnya udah bener kenapa salah? lanjut lewat facebook juga. ini tolong di perbaiki ya.",1
Annjir susah masuk akun sekarang,1
Belum bisa bacanya di sini?,1
Why can't I login?,1
Aplikasi gak jelas!,1
Gmn cara bacanya???,1
I can not login 😠😔,1
ribet,1
Gak guna njir,1
"buat yang berfikir pen baca buku kek novel jangan di downlod, bkan buat baca buku. 🤕🙏",1
"Salah copot lg ya sorry... ,dikira buat baca pake aplikasi ini... Aplikasi apaan ini ga tau gunanya buat apa!@@*%&!",1
"Tolong di perbaiki, sangat susah untuk login. Sampai kezel aku tu",1
"Udah lama pake aplikasi ini, suka bgt buat cari tau rating dan update progres baca tp masa mau buka buku yg udah dibaca atau reading challenge tiba-tiba keluar sendiri. Dicoba lagi atau hapus cache tetep keluar aplikasi",1
Bad👎,1
Kok gak bisa baca bukunya yah cuman bisa lihat gambarnya doang wakau gue punya 1 comicnya,1
"Maaf sebelumnya kak, ini knapa aku login nggak bisa2 ya. Kata nya nggak terhubung ke internet, tapi buka aplikasi ya g berhubungan dengan internet maksimal aja. Mohon di tindak lanjuti",1
Kalau ada gak kasih bintang mah ok soalnya Gak enak bgttt bikin susah lagi mau cari buku aja puyeng buat bacanya liat di YouTube gak ada yang ngebantui Dan tak bisa subtitlenya nyesel sy mah minta untuk lebih bisa ngertiin untuk memakainya soalnya susah dan bingung untuk dibaca tolong dijadikan lebih mudah untuk dipake bukan saya aja yang ngerasain gni tapi ada juga orang lain rasnya seperti saya terima kasih🙏,1
so bad really really bad!!!,1
Saya tidak bisa log in,1
Aplikasi nggak guna,1
Nipu,1
Gimana cara bacanya sih sulit amat gua uinstal aja dsar apk kontol,1
Bagaimana cara membuka dan membacanya ?,1
Log in saja sulit,1
Aku kasih 1 ulasan dulu ya kak. Ini cara baca bukunya gimana ko nggak kebuka,1
Bagussss,1
"Jelek, gak nyambung",1
"Bagaimana jika ingin membaca, kok tidak bisa?? Mohon bantuannya",1
Ngentot aplikasi nya vuman buat liat review doang asu,1
Saya kira untuk membaca karena saya melihat di google baca gratis tapi tau nya untuk merekomendasikan 😭,1
ga ngerti di serch tp ga bisa dibuka,1
Ga bisa buat login,1
Entahlah,1
I love this apps because it helps me a lot to track my reading progress but why isn't the barcode scanner working? I had difficulties switching to another version of a book without the scanner.,1
Gak jelas,1
Apk gajelas,1
I love this app but why didn't the scanner working?,1
kalau mau bca bukunya gimna? tolong,1
